constraint_name,relation_name,index_name,field_name,field_position
PK_BANKSTATEMENT,BANKSTATEMENT,PK_BANKSTATEMENT,BS_ID,0
PK_BANKSTATEMENTLINE,BANKSTATEMENTLINE,PK_BANKSTATEMENTLINE,BS_ID,0
PK_BANKSTATEMENTLINE,BANKSTATEMENTLINE,PK_BANKSTATEMENTLINE,BSL_ID,1
PK_BURIALPERMIT,BURIALPERMIT,PK_BURIALPERMIT,BUR_ID,0
PK_BUSINESSPERMIT_1,BUSINESSPERMIT,PK_BUSINESSPERMIT_1,BP_ID,0
PK_BUSINESSPERMITCLEARANCE_1,BUSINESSPERMITCLEARANCE,PK_BUSINESSPERMITCLEARANCE_1,BPC_ID,0
PK_BPERMITCLEARANCEDETAIL_1,BUSINESSPERMITCLEARANCEDETAIL,PK_BPERMITCLEARANCEDETAIL_1,BPCLRDETAIL_ID,0
PK_BUSINESSPERMITDETAIL_1,BUSINESSPERMITDETAIL,PK_BUSINESSPERMITDETAIL_1,BPDETAIL_ID,0
PK_BUSINESSPERMITJOURNAL_1,BUSINESSPERMITJOURNAL,PK_BUSINESSPERMITJOURNAL_1,BPJOURNAL_ID,0
PK_BUSINESSPERMITLESSOR_1,BUSINESSPERMITLESSOR,PK_BUSINESSPERMITLESSOR_1,BPLESSOR_ID,0
PK_BUSINESSPERMITPREVGROSS_1,BUSINESSPERMITPREVGROSS,PK_BUSINESSPERMITPREVGROSS_1,BPPREVGROSS_ID,0
PK_BUSINESSPERMITPROMISSORY_1,BUSINESSPERMITPROMISSORY,PK_BUSINESSPERMITPROMISSORY_1,BPP_ID,0
INTEG_365,BUSINESSPERMITSTATUS,RDB$PRIMARY1,BPS_ID,0
PK_BUSINESSPERMIT_HISTORY_1,BUSINESSPERMIT_HISTORY,PK_BUSINESSPERMIT_HISTORY_1,BP_ID,0
PK_CASHTICKET_1,CASHTICKET,PK_CASHTICKET_1,CT_ID,0
PK_CATTLEOWNERSHIP,CATTLEOWNERSHIP,PK_CATTLEOWNERSHIP,CATOWN_ID,0
PK_CATTLETRANSFER,CATTLETRANSFER,PK_CATTLETRANSFER,CATTRANS_ID,0
PK_COMMUNITYTAXCERTIFICATE_1,COMMUNITYTAXCERTIFICATE,PK_COMMUNITYTAXCERTIFICATE_1,CTC_ID,0
PK_CTCOTHERLGU,CTCOTHERLGU,PK_CTCOTHERLGU,OTHERCTC_ID,0
PK_CTRLETACSEQ_1,CTRLETACSEQ,PK_CTRLETACSEQ_1,SEQNAME,0
PK_CTRLETACSEQ_1,CTRLETACSEQ,PK_CTRLETACSEQ_1,MUNICIPAL_ID,1
INTEG_366,CTRLSYSCONFIG,RDB$PRIMARY2,TAG,0
PK_CUSTOMLAYOUTAF,CUSTOMLAYOUT_AF,PK_CUSTOMLAYOUTAF,CLAF_ID,0
PK_CUSTOMREPORT,CUSTOMREPORT,PK_CUSTOMREPORT,CR_ID,0
